hash,count
69496448,1
-1898553908,1
96727,1
114801,1
583005333,1
115,1
80218181,1
2135,1
-2070900343,1
-1243052880,1
1456998445,1
78406,1
83025,1
65964,1
85918,1
72447192,1
2501,1
77646,1
-615834066,1
3543,1
-1034364087,1
3149094,1
-1896109122,1
66300266,1
3645825,1
106940924,1
3707,1
113643,1
3558823,1
3558952,1
471465562,1
-1039745817,1
110323434,1
119839,1
3616054,1
3362829,1
2605640,1
3314326,1
-991808881,1
100,1
-1289163687,1
3139,1
636733255,1
3365,1
-330473854,1
-1881997444,1
3555,1
1827208126,1
-232973818,1
3273964,1
3083215,1
116,1
3208383,1
3649734,1
3541575,1
1422799105,1
117481,1
246043532,1
97,1
3143230,1
-1367775363,1
1349413851,1
113101341,1
3343637,1
-1323535496,1
2333,1
97536,1
93614293,1
107866,1
-1224458312,1
96748,1
3377247,1
2035477926,1
3325,1
99455,1
3195240,1
102742843,1
853982760,1
3559065,1
-1386154518,1
103051,1
-1049482315,1
110777640,1
111593474,1
-1413853096,1
3046006,1
-836041066,1
3122,1
113840,1
109642094,1
3676,1
103189,1
3560141,1
1025237382,1
3423444,1
-1253087691,1
-1278142878,1
-895471450,1
3551,1
425173953,1
84049,1
-1910986747,1
109548807,1
114066,1
2057920365,1
110327130,1
-1259490430,1
110327396,1
3521,1
97436152,1
97740,1
-327707013,1
401590963,1
-795125073,1
97921,1
2997191,1
-906277200,1
201724889,1
3138864,1
1505268886,1
113321685,1
273184745,1
3371,1
110331122,1
94851265,1
3019700,1
3357,1
-1412637446,1
97621890,1
110414,1
92611469,1
1274371111,1
-902104540,1
3194691,1
107996,1
101577,1
1987349500,1
114851798,1
3135084,1
-893329623,1
3178685,1
2129323981,1
1269934139,1
-385612055,1
756705649,1
-1413047476,1
3648196,1
-734206867,1
-891990013,1
3296597,1
115028,1
104712844,1
3125530,1
3526267,1
103308,1
2605758,1
-851179773,1
-934964668,1
-833093059,1
3007214,1
3641872,1
-1073740794,1
94631196,1
3321751,1
2695002,1
3655218,1
3739,1
3094993,1
3181155,1
687309357,1
110412,1
109770997,1
-892483503,1
-1357518620,1
113953,1
-1106037339,1
-1863356540,1
-874702523,1
3536187,1
-2118473344,1
96673,1
957831062,1
-1206128436,1
-988477312,1
103314,1
3357571,1
-1383299075,1
114832,1
3655441,1
-2043672242,1
695005277,1
-1961451168,1
121380243,1
3237472,1
3202466,1
94623429,1
2433880,1
3558940,1
2129347724,1
110136053,1
110468,1
-760334308,1
3433490,1
-787751952,1
2131,1
3194931,1
96505999,1
1762399914,1
-992171396,1
94627142,1
110628746,1
3292222,1
98030,1
-1073880421,1
109270,1
-1224334299,1
-1541571401,1
1483521852,1
-1363909376,1
3123,1
112895977,1
-2018611434,1
3575455,1
1837313567,1
3317767,1
99469088,1
102540,1
98260,1
-1396673594,1
95852938,1
2379,1
-1354665387,1
97440432,1
3530173,1
-564885382,1
15479829,1
98262,1
1080413836,1
107868,1
70825,1
-906279820,1
1080652534,1
3558941,1
-1163499437,1
3198432,1
-1409235507,1
3327647,1
92746592,1
80774724,1
110115500,1
1312635980,1
3642021,1
109435293,1
2694884,1
3019820,1
1224578480,1
3363337,1
110628691,1
102970646,1
-26651397,1
-892483983,1
3015911,1
2130,1
95858704,1
3505952,1
1125964206,1
-1073910849,1
3522537,1
349788387,1
3046237,1
-1354577971,1
3496342,1
3344023,1
109435478,1
3165449,1
921353432,1
-1102478602,1
109399814,1
111375,1
3351634,1
-867832969,1
3566226,1
-1340224999,1
-1289550567,1
106006350,1
-1211583751,1
102230,1
99228,1
67169,1
3108285,1
-1323526108,1
3159,1
