hash,count
798,0
799,0
800,1
801,0
802,1
803,0
804,1
805,1
806,1
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,1
815,0
816,2
817,0
818,1
819,2
820,0
821,0
822,1
823,1
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,2
834,0
835,0
836,0
837,2
838,0
839,0
840,0
841,0
842,1
843,1
844,0
845,0
846,0
847,1
848,0
849,1
850,0
851,1
852,2
853,1
854,1
855,2
856,1
857,1
858,0
859,0
860,1
861,0
862,3
863,0
864,1
865,1
866,1
867,0
868,3
869,1
870,2
871,1
872,0
873,1
874,2
875,0
876,0
877,1
878,2
879,2
880,1
881,1
882,1
883,0
884,1
885,2
886,2
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,0
903,0
904,2
905,0
906,1
907,0
908,0
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,3
917,3
918,1
919,0
920,1
921,2
922,0
923,1
924,2
925,1
926,0
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,1
945,0
946,0
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,0
955,2
956,1
957,0
958,0
959,1
960,2
961,0
962,1
963,0
964,1
965,0
966,2
967,0
968,0
969,0
970,1
971,1
972,1
973,2
974,0
975,0
976,3
977,1
978,0
979,1
980,1
981,1
982,2
983,0
984,0
985,1
986,0
987,0
988,0
989,1
990,0
991,1
992,0
993,1
994,1
995,0
996,0
997,0
998,2
999,1
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,2
1016,1
1017,1
1018,0
1019,2
1020,0
1021,1
1022,0
1023,1
1024,0
1025,0
1026,1
1027,2
1028,0
1029,3
1030,2
1031,0
1032,2
1033,0
1034,1
1035,0
1036,1
1037,2
1038,0
1039,0
1040,2
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,3
1049,0
1050,1
1051,1
1052,3
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
1059,1
1060,0
1061,2
1062,1
1063,1
1064,1
1065,3
1066,0
1067,0
1068,0
1069,0
1070,1
1071,2
1072,1
1073,1
1074,0
1075,0
1076,0
1077,0
1078,1
1079,2
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,2
1092,0
1093,2
1094,0
1095,1
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,1
1104,3
1105,0
1106,0
1107,0
1108,0
1109,1
1110,2
1111,0
1112,2
1113,1
1114,2
1115,1
1116,0
1117,0
1118,1
1119,1
1120,0
1121,2
1122,1
1123,2
1124,1
1125,0
1126,1
1127,0
1128,2
1129,0
1130,1
1131,2
1132,2
1133,1
1134,1
1135,2
1136,0
1137,0
1138,2
1139,1
1140,0
1141,0
1142,0
1143,1
1144,0
1145,3
1146,3
1147,1
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,2
1161,0
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,0
1170,0
1171,1
1172,0
1173,3
1174,0
1175,0
1176,1
1177,1
1178,1
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,1
1186,1
1187,0
1188,2
1189,2
1190,1
1191,1
1192,1
1193,0
1194,1
1195,3
1196,1
1197,0
1198,2
1199,0
1200,0
1201,1
1202,0
1203,1
1204,2
1205,0
1206,1
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,1
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,3
1223,0
1224,1
1225,0
1226,1
1227,2
1228,0
1229,0
1230,1
1231,0
1232,0
1233,2
1234,1
1235,1
1236,0
1237,0
1238,0
1239,1
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,0
1249,1
1250,0
1251,2
1252,0
1253,1
1254,4
1255,0
1256,1
1257,1
1258,0
1259,0
1260,0
1261,0
1262,1
1263,0
1264,1
1265,1
1266,0
1267,2
1268,0
1269,1
1270,1
1271,2
1272,0
1273,0
1274,1
1275,1
1276,1
1277,0
1278,0
1279,0
1280,0
1281,2
1282,0
1283,0
1284,0
1285,1
1286,1
1287,1
1288,0
1289,3
1290,1
1291,2
1292,0
1293,0
1294,1
1295,0
1296,0
1297,0
1298,3
1299,1
1300,2
1301,1
1302,1
1303,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,1
1310,2
1311,0
1312,1
1313,0
1314,1
1315,0
1316,0
1317,1
1318,0
1319,0
1320,0
1321,1
1322,2
1323,0
1324,0
1325,0
1326,0
1327,0
1328,1
1329,0
1330,0
1331,2
1332,0
1333,1
1334,1
1335,0
1336,0
1337,0
1338,0
1339,1
1340,1
1341,0
1342,1
1343,0
1344,0
1345,1
1346,0
1347,1
1348,0
1349,0
1350,1
1351,0
1352,0
1353,1
1354,1
1355,2
1356,0
1357,0
1358,0
1359,1
1360,0
1361,0
1362,1
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,2
1370,2
1371,0
1372,0
1373,3
1374,0
1375,1
1376,1
1377,0
1378,1
1379,0
1380,2
1381,0
1382,2
1383,0
1384,0
1385,0
1386,2
1387,0
1388,0
1389,1
1390,1
1391,3
1392,1
1393,0
1394,1
1395,0
1396,0
1397,0
1398,1
1399,0
1400,0
1401,1
1402,1
1403,1
1404,0
1405,3
1406,0
1407,1
1408,0
1409,1
1410,0
1411,1
1412,0
1413,2
1414,2
1415,1
1416,1
1417,2
1418,0
1419,0
1420,2
1421,2
1422,2
1423,1
1424,1
1425,0
1426,0
1427,1
1428,4
1429,2
1430,1
1431,0
1432,1
1433,1
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,0
1444,1
1445,1
1446,0
1447,2
1448,0
1449,0
1450,0
1451,0
1452,0
1453,2
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,1
1461,0
1462,1
1463,1
1464,1
1465,2
1466,1
1467,2
1468,0
1469,1
1470,1
1471,0
1472,0
1473,0
1474,0
1475,0
1476,1
1477,2
1478,0
1479,0
1480,0
1481,0
1482,1
1483,0
1484,0
1485,0
1486,0
1487,0
1488,2
1489,0
1490,0
1491,0
1492,0
1493,1
1494,2
1495,0
1496,1
1497,2
1498,2
1499,2
1500,0
1501,1
1502,1
1503,1
1504,0
1505,0
1506,1
1507,0
1508,1
1509,1
1510,2
1511,0
1512,0
1513,1
1514,0
1515,0
1516,0
1517,0
1518,1
1519,0
1520,0
1521,0
1522,1
1523,0
1524,0
1525,1
1526,0
1527,0
1528,0
1529,2
1530,1
1531,0
1532,2
1533,2
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,1
1545,0
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
